"BehaviorSpace results (NetLogo 6.0.4)"
"dxf.nlogo"
"experiment"
"09/30/2018 20:41:18:674 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10"
"show-energy?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"day","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"[reporter]","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day"
"[final]","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10"
"[min]","30","0","30","0","30","0","30","0","30","0","30","0","30","0","30","0","30","0","30","0"
"[max]","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10"
"[mean]","30","5","30","5","30","5","30","5","30","5","30","5","30","5","30","5","30","5","30","5"
"[steps]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"

"[all run data]","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day","count fishes","day"
,"30","0","30","0","30","0","30","0","30","0","30","0","30","0","30","0","30","0","30","0"
,"30","1","30","1","30","1","30","1","30","1","30","1","30","1","30","1","30","1","30","1"
,"30","2","30","2","30","2","30","2","30","2","30","2","30","2","30","2","30","2","30","2"
,"30","3","30","3","30","3","30","3","30","3","30","3","30","3","30","3","30","3","30","3"
,"30","4","30","4","30","4","30","4","30","4","30","4","30","4","30","4","30","4","30","4"
,"30","5","30","5","30","5","30","5","30","5","30","5","30","5","30","5","30","5","30","5"
,"30","6","30","6","30","6","30","6","30","6","30","6","30","6","30","6","30","6","30","6"
,"30","7","30","7","30","7","30","7","30","7","30","7","30","7","30","7","30","7","30","7"
,"30","8","30","8","30","8","30","8","30","8","30","8","30","8","30","8","30","8","30","8"
,"30","9","30","9","30","9","30","9","30","9","30","9","30","9","30","9","30","9","30","9"
,"30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10","30","10"
